id,device_id,ts,activity,pp1,pp2,pp3,HIC,Humidity,Temperature,time
81,665,2021-05-03T18:52:25,idle,,,,22.2095,28.5,23.1,115621
82,665,2021-05-03T18:52:35,idle,,,,22.10211,28.6,23,125714
83,665,2021-05-03T18:52:45,idle,,,,21.98951,28.5,22.9,135777
84,665,2021-05-03T18:52:55,idle,,,,21.88211,28.6,22.8,145824
85,665,2021-05-03T18:53:05,idle,,,,21.77995,28.9,22.7,155870
86,665,2021-05-03T18:53:15,idle,,,,21.79039,29.3,22.7,165914
87,665,2021-05-03T18:53:25,idle,,,,21.68301,29.4,22.6,176003
88,665,2021-05-03T18:53:35,idle,,,,21.56779,29.2,22.5,186041
89,665,2021-05-03T18:53:45,idle,,,,21.56779,29.2,22.5,196082
90,665,2021-05-03T18:53:55,idle,,,,21.45517,29.1,22.4,206176
91,665,2021-05-03T18:54:05,idle,,,,21.45517,29.1,22.4,216237
92,665,2021-05-03T18:54:15,idle,,,,21.34517,29.1,22.3,226299
93,665,2021-05-03T18:54:25,idle,,,,21.35823,29.6,22.3,236345
94,665,2021-05-03T18:54:36,idle,,,,21.2404,29.3,22.2,246415
95,665,2021-05-03T18:54:46,idle,,,,21.12256,29,22.1,256487
96,665,2021-05-03T18:54:56,idle,,,,21.12779,29.2,22.1,266547
97,665,2021-05-03T18:55:06,idle,,,,21.1304,29.3,22.1,276641
98,665,2021-05-03T18:55:16,idle,,,,21.02301,29.4,22,286698
99,665,2021-05-03T18:55:26,idle,,,,21.02301,29.4,22,296750
100,665,2021-05-03T18:55:36,idle,,,,20.91301,29.4,21.9,307001
101,665,2021-05-03T18:55:46,idle,,,,20.91823,29.6,21.9,317047
102,665,2021-05-03T18:55:56,idle,,,,20.92085,29.7,21.9,327100
103,665,2021-05-03T18:56:06,idle,,,,20.81607,29.9,21.8,337164
104,665,2021-05-03T18:56:16,idle,,,,20.81085,29.7,21.8,347246
105,665,2021-05-03T18:56:26,idle,,,,20.70085,29.7,21.7,357284
106,665,2021-05-03T18:56:36,idle,,,,20.70346,29.8,21.7,367338
107,665,2021-05-03T18:56:46,idle,,,,20.70346,29.8,21.7,377401
108,665,2021-05-03T18:56:57,idle,,,,20.59346,29.8,21.6,387447
109,665,2021-05-03T18:57:07,idle,,,,20.59607,29.9,21.6,397612
110,665,2021-05-03T18:57:17,idle,,,,20.59607,29.9,21.6,407814
111,665,2021-05-03T18:57:27,idle,,,,20.59868,30,21.6,417881
112,665,2021-05-03T18:57:37,idle,,,,20.48868,30,21.5,427928
113,665,2021-05-03T18:57:47,idle,,,,20.48868,30,21.5,437969
114,665,2021-05-03T18:57:57,idle,,,,20.4939,30.2,21.5,448013
115,665,2021-05-03T18:58:07,idle,,,,20.49913,30.4,21.5,458052
116,665,2021-05-03T18:58:17,idle,,,,20.38913,30.4,21.4,468138
117,665,2021-05-03T18:58:27,idle,,,,20.38652,30.3,21.4,478231
118,665,2021-05-03T18:58:37,idle,,,,20.38652,30.3,21.4,488326
119,665,2021-05-03T18:58:47,idle,,,,20.27913,30.4,21.3,498370
120,665,2021-05-03T18:58:58,idle,,,,20.28435,30.6,21.3,508419
121,665,2021-05-03T18:59:08,idle,,,,20.29218,30.9,21.3,518465
122,665,2021-05-03T18:59:18,idle,,,,20.28957,30.8,21.3,528508
123,665,2021-05-03T18:59:28,idle,,,,20.27913,30.4,21.3,538547
124,665,2021-05-03T18:59:38,idle,,,,20.27913,30.4,21.3,548638
125,665,2021-05-03T18:59:48,idle,,,,20.17174,30.5,21.2,558709
126,665,2021-05-03T18:59:58,idle,,,,20.17435,30.6,21.2,568770
127,665,2021-05-03T19:00:10,idle,,,,20.17174,30.5,21.2,578856
128,665,2021-05-03T19:00:20,idle,,,,20.17435,30.6,21.2,591166
129,665,2021-05-03T19:00:30,idle,,,,20.17174,30.5,21.2,601203
130,665,2021-05-03T19:00:40,idle,,,,20.17435,30.6,21.2,611250
131,665,2021-05-03T19:00:50,idle,,,,20.17958,30.8,21.2,621300
132,665,2021-05-03T19:01:00,idle,,,,20.18219,30.9,21.2,631349
133,665,2021-05-03T19:01:10,idle,,,,20.17958,30.8,21.2,641398
134,665,2021-05-03T19:01:21,idle,,,,20.17697,30.7,21.2,651445
135,665,2021-05-03T19:01:31,idle,,,,20.07219,30.9,21.1,661507
136,665,2021-05-03T19:01:41,idle,,,,20.06697,30.7,21.1,671554
137,665,2021-05-03T19:01:51,idle,,,,20.06697,30.7,21.1,681597
138,665,2021-05-03T19:02:01,idle,,,,20.06958,30.8,21.1,691647
139,665,2021-05-03T19:02:11,idle,,,,20.0748,31,21.1,701734
140,665,2021-05-03T19:02:21,idle,,,,20.08002,31.2,21.1,711806
141,665,2021-05-03T19:02:31,idle,,,,20.07219,30.9,21.1,721853
142,665,2021-05-03T19:02:41,idle,,,,20.06958,30.8,21.1,731894
143,665,2021-05-03T19:02:51,idle,,,,20.07219,30.9,21.1,741944
144,665,2021-05-03T19:03:01,idle,,,,20.06958,30.8,21.1,751993
145,665,2021-05-03T19:03:11,idle,,,,20.07219,30.9,21.1,762053
146,665,2021-05-03T19:03:21,idle,,,,20.07219,30.9,21.1,772099
147,665,2021-05-03T19:03:31,idle,,,,20.09308,31.7,21.1,782142
148,665,2021-05-03T19:03:41,idle,,,,19.97264,31.3,21,792201
149,665,2021-05-03T19:03:51,idle,,,,19.97264,31.3,21,802271
150,665,2021-05-03T19:04:01,idle,,,,19.9883,31.9,21,812331
151,665,2021-05-03T19:04:11,idle,,,,19.98047,31.6,21,822375
152,665,2021-05-03T19:04:22,idle,,,,19.97264,31.3,21,832421
