Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 11:10,17.9,17.9,17.9,,,0,,,12.9,,,,,52.54,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 11:30,17.9,17.9,17.9,,,0,,,12.9,60,,10,17.1,52.6,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 11:50,18.9,18.9,18.9,,,0,,,11.2,60,,10,25,49.04,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 12:10,18.9,18.9,18.9,,,0,,,13,79,,,,45.85,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 12:30,18.9,18.9,18.9,,,0,,,12.9,79,,10,0,45.92,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 12:50,19.9,19.9,19.9,,,0,,,9.6,82,,10,,45.9,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 13:10,19.9,19.9,19.9,,,0,,,14.7,78,,,,40.33,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 13:30,19.9,19.9,19.9,,,0,,,14.7,80,,10,8.6,40.36,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 13:50,20.9,20.9,20.9,,,0,,,36,5,,10,,37.93,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 14:10,20.9,20.9,20.9,,,0,,,,,,,,37.51,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 14:30,20.9,20.9,20.9,,,0,,,13,110,,10,0,37.31,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 14:50,21.9,21.9,21.9,,,0,,,13.2,80,,10,,33.33,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 15:10,21.9,21.9,21.9,,,0,,,13.1,117,,,,33.25,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 15:30,21.9,21.9,21.9,,,0,,,13.1,116,,10,0,33.2,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 15:50,21.9,21.9,21.9,,,0,,,16.4,99,,10,,31.14,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 16:10,21.9,21.9,21.9,,,0,,,18.1,90,,,,33.17,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 16:30,21.9,21.9,21.9,,,0,,,18,90,,10,0,33.4,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 16:50,21.9,21.9,21.9,,,0,,,16.5,71,,10,,33.2,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 17:10,21.9,21.9,21.9,,,0,,,18.2,71,,,,33.34,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 17:30,21.9,21.9,21.9,,,0,,,18.1,71,,10,0,33.28,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 17:50,21.9,21.9,21.9,,,0,,,14.9,71,37.1,10,,33.4,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 18:10,21.9,21.9,21.9,,,0,,,16.9,51,,,,35.52,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 18:30,21.9,21.9,21.9,,,0,,,16.9,52,,10,0,35.42,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 18:50,21.9,21.9,21.9,,,0,,,18.4,41,,10,,35.63,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 19:10,21.9,21.9,21.9,,,0,,,20.3,61,,,,37.93,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 19:30,21.9,21.9,21.9,,,0,,,20.3,61,,10,0,37.86,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 19:50,20.9,20.9,20.9,,,0,,,16.6,61,,10,,37.89,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 20:10,20.9,20.9,20.9,,,0,,,18.2,69,,,,37.94,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 20:30,20.9,20.9,20.9,,,0,,,18.2,69,,10,0,37.96,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 20:50,19.9,19.9,19.9,,,0,,,16.4,60,,10,,40.51,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 21:10,19.8,19.8,19.8,,,0,,,12.7,50,,,,40.74,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 21:30,19.8,19.8,19.8,,,0,,,12.7,50,,10,0,40.85,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 21:50,17.9,17.9,17.9,,,0,,,11.2,50,,10,,48.97,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 22:10,15.9,15.9,15.9,,,0,,,11,49,,,,59.05,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 22:30,15.9,15.9,15.9,,,0,,,11,49,,10,0,59.05,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 22:50,15,15,15,,,0,,,11,,,10,,62.93,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 23:10,14,14,14,,,0,,,11.1,,,,,66.88,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 23:30,14,14,14,,,0,,,11.1,70,,10,0,66.78,Clear
"Eindhoven, Noord-Brabant, Nederland",5/30/2021 23:50,14,14,14,,,0,,,11,32,,10,,66.77,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 0:10,13.1,13.1,13.1,,,0,,,11.1,32,,,,71.28,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 0:30,13.1,13.1,13.1,,,0,,,11.1,33,,10,0,71.09,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 0:50,13,13,13,,,0,,,11,23,,10,,71.45,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 1:10,12.1,12.1,12.1,,,0,,,11,41,,,,75.95,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 1:30,12.1,12.1,12.1,,,0,,,11,42,,10,24.4,75.67,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 1:50,12,12,12,,,0,,,,,,10,,76.3,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 2:10,11,11,11,,,0,,,,,,,,81.34,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 2:30,11.1,11.1,11.1,,,0,,,7.6,60,,10,0,81.16,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 2:50,11,11,11,,,0,,,10.7,30,,10,,81.59,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 3:10,10.1,10.1,10.1,,,0,,,10.6,40,,,,86.94,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 3:30,10.1,10.1,10.1,,,0,,,10.4,40,,10,0,86.88,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 3:50,10,10,10,8.5,,0,,,10.7,30,,10,,87.32,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 4:10,9.9,9.9,9.9,8.7,,0,,,9,39,,,,87.6,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 4:30,9.9,9.9,9.9,8.8,,0,,,8.9,39,,10,0,87.77,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 4:50,9.9,9.9,9.9,9,,0,,,7.4,49,,10,,87.66,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 5:10,9,9,9,7.3,,0,,,10.8,40,,,,92.94,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 5:30,9,9,9,7.3,,0,,,10.5,39,,9.9,0,92.95,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 5:50,9.9,9.9,9.9,9,,0,,,7.3,59,,9.9,,93.47,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 6:10,11.8,11.8,11.8,,,0,,,10.8,50,,,,82.22,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 6:30,11.7,11.7,11.7,,,0,,,10.6,49,,9.9,0,82.8,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 6:50,12.8,12.8,12.8,,,0,,,10.7,59,,9.9,,82.14,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 7:10,13.9,13.9,13.9,,,0,,,10.9,61,,,,76.8,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 7:30,13.9,13.9,13.9,,,0,,,10.7,60,,10,0,77.09,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 7:50,15.8,15.8,15.8,,,0,,,,,,10,,67.93,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 8:10,15.9,15.9,15.9,,,0,,,,,,,,67.71,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 8:30,15.9,15.9,15.9,,,0,,,5.4,80,,9.9,0,67.49,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 8:50,17,17,17,,,0,,,7.6,90,,10,0,63.39,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 9:10,18,18,18,,,0,,,7.5,80,,,,59.61,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 9:30,18,18,18,,,0,,,7.5,79,,10,0,59.65,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 9:50,19.8,19.8,19.8,,,0,,,3.8,65,,10,0,52.92,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 10:10,20,20,20,,,0,,,7.4,66,,,,49.39,Clear
"Eindhoven, Noord-Brabant, Nederland",5/31/2021 10:30,20,20,20,,,0,,,7.5,70,,10,0,49.38,Clear
